Crop,Temperature,Rainfall,Humidity
Field Pea,35,40,65
Green gram,35,72,71
Gram,33,44,68
Barley,32,43,71
Groundnut,34,76,68
Soybean,34,67,71
Green gram,35,75,69
Maize,32,58,71
Wheat,34,82,75
Groundnut,33,55,65
Barley,35,40,72
Green gram,35,77,70
Rap seed,33,35,71
Maize,33,53,72
Barley,35,49,71
Wheat,32,87,68
Field Pea,32,44,68
Groundnut,32,72,68
Gram,33,41,73
Rap seed,32,39,69
Mustard,32,40,70
Maize,32,60,71
Black Gram,35,46,69
Black Gram,33,57,66
Field Pea,35,58,67
Millet,34,27,67
Mustard,34,38,68
Gram,32,42,68
Soybean,32,69,67
Sunflower,32,35,69
Sunflower,35,73,74
Wheat,35,64,65
Rice,33,117,71
Wheat,35,72,75
Wheat,35,67,66
Soybean,35,65,71
Groundnut,33,97,70
Barley,32,46,71
Field Pea,35,49,68
SugarCane,32,280,66
Black Gram,33,43,71
Cotton,32,64,73
Rap seed,35,41,69
Groundnut,33,50,74
Cotton,33,56,65
Field Pea,35,40,72
Black Gram,35,58,74
Gram,32,43,74
Millet,35,25,65
Green gram,34,79,70
Barley,33,44,71
Millet,35,27,70
Barley,34,39,73
Green gram,33,66,67
Barley,34,49,71
SugarCane,35,275,67
Rap seed,32,44,65
Gram,35,35,67
Rice,34,126,71
Sunflower,34,53,71
Cotton,32,59,65
Rap seed,34,36,68
Rap seed,35,44,72
Wheat,34,63,70
SugarCane,32,250,71
Sunflower,35,48,66
Barley,32,44,70
Black Gram,32,43,74
Sunflower,33,81,70
Black Gram,35,59,73
Soybean,32,61,74
Gram,35,37,73
Field Pea,35,43,73
Sunflower,34,86,65
Rap seed,34,43,70
Sorghum,32,42,69
Millet,35,35,73
SugarCane,34,298,70
Rap seed,33,42,69
Field Pea,32,46,70
Cotton,32,61,65
Mustard,35,41,71
SugarCane,35,281,68
Green gram,35,70,74
Wheat,32,70,70
Gram,34,42,71
Maize,34,59,67
Groundnut,34,97,67
Soybean,32,60,66
Millet,35,27,65
Green gram,35,66,72
SugarCane,32,259,74
Sorghum,34,44,67
Millet,35,32,68
Gram,33,41,72
Barley,32,38,65
Green gram,33,73,74
Groundnut,35,94,65
Wheat,35,62,75
Rap seed,34,36,68
Gram,33,35,68
SugarCane,35,276,70
Rice,35,135,68
Soybean,32,66,73
Sorghum,34,50,71
Millet,35,35,70
Groundnut,32,94,65
Rice,32,126,68
Barley,33,38,74
Sorghum,32,55,70
Mustard,32,44,68
SugarCane,33,296,74
Mustard,33,35,71
Mustard,32,38,65
Green gram,32,79,72
Mustard,33,37,67
Gram,35,44,74
Wheat,35,64,69
Groundnut,33,99,66
Sunflower,35,39,75
Wheat,33,78,74
Barley,34,38,68
Wheat,35,62,75
Rice,35,103,70
Millet,35,34,74
Groundnut,32,58,65
Groundnut,33,51,65
Millet,35,27,75
Sorghum,32,44,74
Barley,32,37,69
Rice,34,136,66
Millet,34,27,67
Field Pea,32,40,66
Millet,32,25,66
Cotton,35,52,69
Field Pea,35,58,75
Wheat,33,82,65
Gram,35,40,67
Soybean,34,69,71
Cotton,35,52,73
Gram,32,42,70
Barley,32,50,68
Barley,35,47,69
Field Pea,33,51,66
Groundnut,35,65,68
Green gram,33,63,73
Groundnut,32,57,65
Millet,34,27,68
Green gram,33,79,72
Sorghum,34,48,68
Gram,35,38,74
Wheat,32,86,66
Black Gram,33,42,70
Sunflower,33,66,66
Wheat,32,64,66
Barley,35,39,65
Groundnut,33,75,75
Wheat,32,90,68
Millet,34,31,74
Sorghum,34,53,73
Cotton,32,51,68
SugarCane,32,255,66
Field Pea,33,55,71
Green gram,35,73,75
SugarCane,35,253,68
Wheat,35,90,74
Cotton,34,56,67
Cotton,33,64,73
Wheat,32,89,68
Green gram,34,72,69
Rap seed,32,36,74
Millet,32,31,66
Groundnut,32,51,75
Rap seed,33,36,73
Mustard,32,42,66
Sorghum,34,48,67
SugarCane,34,267,71
Sunflower,34,133,68
Rap seed,32,39,71
Wheat,33,75,67
Soybean,33,67,67
Rap seed,34,41,70
Millet,33,31,66
Cotton,33,54,73
Field Pea,35,45,72
Soybean,34,75,68
Wheat,33,60,72
Gram,32,37,74
Millet,32,33,67
Rice,35,137,73
Mustard,35,37,72
Maize,32,65,72
Wheat,35,61,74
Field Pea,35,59,71
Rap seed,34,38,70
Groundnut,35,54,68
Sorghum,34,40,72
Rice,33,125,67
Black Gram,34,47,70
Cotton,34,51,67
Green gram,34,70,71
Mustard,35,37,68
Mustard,33,40,71
Green gram,34,77,71
Gram,32,43,72
Sunflower,34,75,71
Rap seed,32,40,73
Cotton,32,64,70
Millet,32,35,67
SugarCane,32,290,74
SugarCane,34,265,74
Cotton,33,62,65
Mustard,32,36,75
Cotton,33,52,72
Maize,32,74,73
Rice,34,137,72
Barley,35,36,74
Millet,35,25,71
Millet,33,35,70
Cotton,35,63,74
Maize,32,58,73
Groundnut,32,60,73
Rice,33,139,66
Gram,34,44,72
Rap seed,33,37,66
Gram,32,44,65
Green gram,32,76,71
Rice,32,108,72
Rap seed,32,38,75
Wheat,32,72,68
SugarCane,33,297,73
Soybean,35,61,67
Millet,35,32,67
Cotton,33,67,66
Rice,32,105,71
Mustard,35,44,74
Cotton,34,57,68
Black Gram,34,53,66
Maize,32,60,75
Cotton,32,59,65
Black Gram,32,45,71
Field Pea,33,47,66
Green gram,34,69,71
Wheat,34,72,72
Millet,33,34,72
Mustard,35,40,66
Green gram,33,77,68
Black Gram,35,49,72
Rice,32,127,65
Groundnut,33,90,66
Cotton,32,65,69
Wheat,33,67,70
Mustard,32,41,67
Cotton,32,61,71
Field Pea,32,42,66
Millet,34,34,70
Maize,32,68,67
Maize,33,77,68
Soybean,32,68,72
Cotton,35,70,69
SugarCane,34,257,65
Sunflower,33,128,66
Barley,35,40,65
Black Gram,32,51,70
Soybean,34,61,65
Sunflower,34,56,67
Soybean,32,75,74
Black Gram,34,52,72
Rap seed,32,39,69
Barley,35,43,71
Sorghum,32,57,73
Rap seed,34,45,69
Soybean,35,63,73
Field Pea,32,40,75
Gram,33,41,67
Mustard,35,38,71
Millet,32,25,71
Millet,32,34,74
Gram,32,38,65
Soybean,34,74,71
Mustard,32,44,68
Mustard,32,44,70
Rice,32,106,71
Rap seed,35,36,69
Field Pea,32,48,65
Sunflower,32,89,71
Rice,32,111,67
Mustard,33,38,72
Green gram,32,60,70
Sorghum,33,56,75
Cotton,32,64,67
Sunflower,33,110,69
Cotton,34,63,75
Sorghum,35,46,68
Sunflower,34,72,71
Sunflower,32,64,69
Barley,35,48,71
Green gram,34,76,66
Rap seed,35,44,65
Rice,32,147,66
Black Gram,34,51,70
Cotton,33,56,68
Mustard,34,40,74
Sorghum,34,52,75
Green gram,34,73,71
Maize,33,74,74
Gram,33,41,72
SugarCane,32,266,71
Sunflower,34,131,65
Black Gram,34,46,68
Barley,35,38,67
Gram,33,43,71
Sorghum,33,41,68
Rap seed,33,45,73
Millet,32,31,66
Soybean,32,69,67
Rice,35,109,69
Mustard,32,41,75
Barley,34,46,73
Gram,32,37,74
Gram,34,43,70
Mustard,32,45,69
Millet,35,31,67
Barley,32,38,71
Mustard,32,42,72
Field Pea,35,54,70
Sunflower,32,54,68
Wheat,34,60,69
Rap seed,32,38,67
Wheat,32,84,71
Barley,34,48,75
Black Gram,35,51,74
Wheat,32,69,65
Groundnut,32,96,67
SugarCane,35,255,69
Wheat,35,65,74
Sorghum,35,48,73
Wheat,32,89,68
Gram,35,45,72
